GO:0080016	(-)-E-beta-caryophyllene synthase activity
GO:0010295	(+)-abscisic acid 8'-hydroxylase activity
GO:0006075	(1->3)-beta-D-glucan biosynthetic process
GO:0102145	(3R)-(E)-nerolidol synthase activity
GO:0070626	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity
GO:0003973	(S)-2-hydroxy-acid oxidase activity
GO:0044571	[2Fe-2S] cluster assembly
GO:0004314	[acyl-carrier-protein] S-malonyltransferase activity
GO:0030785	[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity
GO:0003949	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
GO:0047513	1,2-alpha-L-fucosidase activity
GO:0046509	1,2-diacylglycerol 3-beta-galactosyltransferase activity
GO:0003843	1,3-beta-D-glucan synthase activity
GO:0000148	1,3-beta-D-glucan synthase complex
GO:0003844	1,4-alpha-glucan branching enzyme activity
GO:0004645	1,4-alpha-oligoglucan phosphorylase activity
GO:0008935	1,4-dihydroxy-2-naphthoyl-CoA synthase activity
GO:0061522	1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity
GO:0016629	12-oxophytodienoate reductase activity
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
GO:0030604	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity
GO:0008661	1-deoxy-D-xylulose-5-phosphate synthase activity
GO:0004430	1-phosphatidylinositol 4-kinase activity
GO:0005545	1-phosphatidylinositol binding
GO:0016303	1-phosphatidylinositol-3-kinase activity
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0016308	1-phosphatidylinositol-4-phosphate 5-kinase activity
GO:0033737	1-pyrroline dehydrogenase activity
GO:0051537	2 iron, 2 sulfur cluster binding
GO:0046537	2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity
GO:0008663	2',3'-cyclic-nucleotide 2'-phosphodiesterase activity
GO:0008667	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity
GO:0043715	2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity
GO:0047254	2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase activity
GO:0052907	23S rRNA (adenine(1618)-N(6))-methyltransferase activity
GO:0035798	2-alkenal reductase (NADP+) activity
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
GO:0008685	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity
GO:0050518	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity
GO:0008677	2-dehydropantoate 2-reductase activity
GO:0043716	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity
GO:0047545	2-hydroxyglutarate dehydrogenase activity
GO:0003852	2-isopropylmalate synthase activity
GO:0051741	2-methyl-6-phytyl-1,4-benzoquinone methyltransferase activity
GO:0016706	2-oxoglutarate-dependent dioxygenase activity
GO:0050532	2-phosphosulfolactate phosphatase activity
GO:0008425	2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity
GO:0051538	3 iron, 4 sulfur cluster binding
GO:0008441	3'(2'),5'-bisphosphate nucleotidase activity
GO:0008686	3,4-dihydroxy-2-butanone-4-phosphate synthase activity
GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity
GO:0051744	3,8-divinyl protochlorophyllide a 8-vinyl reductase activity
GO:0043138	3'-5' DNA helicase activity
GO:0008408	3'-5' exonuclease activity
GO:0008296	3'-5'-DNA exonuclease activity
GO:0000175	3'-5'-RNA exonuclease activity
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0004028	3-chloroallyl aldehyde dehydrogenase activity
GO:0033707	3''-deamino-3''-oxonicotianamine reductase activity
GO:0003855	3-dehydroquinate dehydratase activity
GO:0003856	3-dehydroquinate synthase activity
GO:0047560	3-dehydrosphinganine reductase activity
GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity
GO:0008676	3-deoxy-8-phosphooctulonate synthase activity
GO:0008690	3-deoxy-manno-octulosonate cytidylyltransferase activity
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity
GO:0003858	3-hydroxybutyrate dehydrogenase activity
GO:0008692	3-hydroxybutyryl-CoA epimerase activity
GO:0036192	3-hydroxyindolin-2-one monooxygenase activity
GO:0008442	3-hydroxyisobutyrate dehydrogenase activity
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity
GO:0003861	3-isopropylmalate dehydratase activity
GO:0003862	3-isopropylmalate dehydrogenase activity
GO:0006666	3-keto-sphinganine metabolic process
GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
GO:0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity
GO:0016158	3-phytase activity
GO:0042781	3'-tRNA processing endoribonuclease activity
GO:0051539	4 iron, 4 sulfur cluster binding
GO:0050515	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity
GO:0097007	4,8,12-trimethyltrideca-1,3,7,11-tetraene synthase activity
GO:0004134	4-alpha-glucanotransferase activity
GO:0008124	4-alpha-hydroxytetrahydrobiopterin dehydratase activity
GO:0080065	4-alpha-methyl-delta7-sterol oxidation
GO:0003867	4-aminobutyrate transaminase activity
GO:0016207	4-coumarate-CoA ligase activity
GO:0051745	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity
GO:0046429	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity
GO:0002083	4-hydroxybenzoate decaprenyltransferase activity
GO:0047293	4-hydroxybenzoate nonaprenyltransferase activity
GO:0008412	4-hydroxybenzoate octaprenyltransferase activity
GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity
GO:0008839	4-hydroxy-tetrahydrodipicolinate reductase
GO:0008840	4-hydroxy-tetrahydrodipicolinate synthase activity
GO:0035312	5'-3' DNA exonuclease activity
GO:0043139	5'-3' DNA helicase activity
GO:0008409	5'-3' exonuclease activity
GO:0004534	5'-3' RNA exonuclease activity
GO:0008703	5-amino-6-(5-phosphoribosylamino)uracil reductase activity
GO:0017108	5'-flap endonuclease activity
GO:0030272	5-formyltetrahydrofolate cyclo-ligase activity
GO:0015231	5-formyltetrahydrofolate transmembrane transporter activity
GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
GO:0008253	5'-nucleotidase activity
GO:0017168	5-oxoprolinase (ATP-hydrolyzing) activity
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process
GO:0042791	5S class rRNA transcription by RNA polymerase III
GO:0008097	5S rRNA binding
GO:0070260	5'-tyrosyl-DNA phosphodiesterase activity
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity
GO:0003873	6-phosphofructo-2-kinase activity
GO:0003872	6-phosphofructokinase activity
GO:0017057	6-phosphogluconolactonase activity
